代號,公司,資本額(億)
3455,由田,6.15
3465,祥業,2.12
3466,致振,6.09
3479,安勤,7.02
3481,群創,995.21
3483,力致,5.7
3484,崧騰,6.97
3489,筌寶,8.31
3490,單井,5.7
3491,昇達科,6.01
3492,長盛,3.55
3494,誠研,17.95
3498,陽程,6.42
3499,環天科,5.5
3501,維熹,11.83
3504,揚明光,11.41
3508,位速,10.23
3511,矽瑪,5.0
3512,能緹,7.1
3515,華擎,12.07
3516,亞帝歐,5.19
3518,柏騰,8.08
3520,振維,3.88
3521,鴻翊,4.67
3522,御頂,7.26
3523,迎輝,6.81
3526,凡甲,6.43
3527,聚積,4.1
3528,安馳,6.56
3529,力旺,7.58
3530,晶相光,7.8
3531,先益,6.12
3532,台勝科,38.78
3533,嘉澤,10.35
3535,晶彩,7.91
3536,誠創,10.68
3537,堡達,4.87
3540,曜越,6.66
3541,西柏,4.93
3545,敦泰,29.94
3546,宇峻,4.17
3548,兆利,6.01
3550,聯穎,8.5
3551,世禾,5.68
3552,同致,8.56
3555,䳯鵬,3.56
3556,禾瑞亞,5.95
3557,嘉威,7.73
3558,神準,4.91
3562,頂晶科,7.81
3563,牧德,4.26
3564,其陽,5.91
3567,逸昌,3.41
3570,大塚,1.71
3576,新日光,213.99
3577,泓格,5.29
3580,友威科,3.95
3581,博磊,5.1
3583,辛耘,8.11
3587,閎康,6.23
3588,通嘉,4.69
3591,艾笛森,12.5
3593,力銘,6.3
3594,磐儀,6.42
3596,智易,20.86
3605,宏致,12.24
3607,谷崧,12.17
3609,東林,3.03
3611,鼎翰,4.24
3615,安可,6.85
3617,碩天,8.1
3622,洋華,15.13
3623,富晶通,2.93
3624,光頡,11.73
3625,西勝,8.21
3628,盈正,4.5
3629,卓韋,1.62
3630,新鉅科,18.5
3631,晟楠,7.99
3632,研勤,5.81
3642,駿熠電,3.44
3645,達邁,12.94
3646,艾恩特,3.93
3652,精聯,4.71
3653,健策,12.1
3661,世芯-KY,6.02
3663,鑫科,7.35
3664,安瑞-KY,5.11
3665,貿聯-KY,11.85
3666,光耀,4.83
3669,圓展,9.29
3672,康聯訊,3.32
3673,TPK-KY,40.67
3675,德微,4.44
3679,新至陞,6.23
3680,家登,7.06
3682,亞太電,429.82
3684,榮昌,2.46
3685,元創,8.0
3686,達能,34.96
3687,歐買尬,3.01
3689,湧德,6.97
3691,碩禾,6.1
3693,營邦,3.85
3694,海華,13.31
3698,隆達,43.64
3701,大眾控,19.03
3702,大聯大,167.91
3703,欣陸,82.32
3704,合勤控,44.12
3705,永信,26.64
3706,神達,107.73
3707,漢磊,28.15
3708,上緯投控,9.35
3709,鑫聯大投控,7.96
3710,連展投控,20.73
3711,日月光投控,432.38
4102,永日,4.24
4104,佳醫,12.81
4105,東洋,24.87
4106,雃博,8.34
4107,邦特,6.93
4108,懷特,16.36
4109,穆拉德,6.89
4111,濟生,5.7
4113,聯上,21.11
4114,健喬,23.0
4116,明基醫,4.46
4119,旭富,7.95
4120,友華,8.67
4121,優盛,7.33
4123,晟德,41.02
4126,太醫,6.6
4127,天良,4.58
4128,中天,42.53
4129,聯合骨,8.04
4130,健亞,10.58
4131,晶宇,4.83
4133,亞諾法,6.06
4137,麗豐-KY,7.95
4138,曜亞,3.0
4139,馬光-KY,4.2
4141,龍燈-KY,15.19
4142,國光生,36.24
4144,康聯-KY,7.71
4147,中裕,25.22
4148,全宇生技-KY,6.4
4152,台微體,7.42
4153,鈺緯,7.44
4154,康樂-KY,2.43
4155,訊映,7.54
4157,F*太景,71.68
4160,創源,2.42
4161,聿新科,5.27
4162,智擎,14.67
4163,鐿鈦,4.02
4164,承業生,14.04
4167,展旺,26.8
4168,醣聯,7.64
4171,瑞基,4.06
4173,久裕,4.46
4174,浩鼎,18.81
4175,杏一,3.01
4183,福永,2.38
4188,安克,5.3
4190,佐登-KY,6.09
4192,杏國,8.34
4198,環瑞醫,4.25
4205,中華食,8.07
4207,環泰,17.29
4303,信立,7.0
4304,勝昱,3.6
4305,世坤,5.5
4306,炎洲,57.18
4401,東隆興,12.03
4402,福大,4.6
4406,新昕,5.19
